id,mutation,required_response,inherits_round2,reports,Basalt,Fiber,Gneiss,Karst,Moraine,Obsidian,Schist,Tephra,Trellis
N14,Corrupt a certificate coefficient or mismatch multiplier arity,The checker rejects before any zip,M34,9,Certificate shape,"T12, T13",Certificate corruption,T13,"Corrupt coefficients, truncation",Corrupted multipliers,Corrupted certificate,Polynomial witness,"Corrupted coefficients, length"
N15,Offer a rational multiplier for an integer ideal,Reject the coefficient-domain change,M41,3,Ring capability,,,,,Noninteger coefficients,,Coefficient domain,
N16,Feed a noncommutative expression to the commutative checker,Reject the missing ring contract,M37,2,Ring capability,,,,,Missing commutative-ring contract,,,
N17,Accept a native byte-string result without execution evidence or outside the axiom profile,Algorithm correctness alone authorises nothing,M24,3,,,Native result without execution evidence,T14,Native evaluation vs axiom profile,,,,
N18,"Reify an opaque atom under the wrong valuation, or merge two atoms with one name",Rebuild and prove the original-expression bridge,M44,3,,T23,,T15,,,,,Distinct atom applications
N19,Accept a length-preserving candidate as a sorter,Permutation and order obligations stay open,M28,6,Abstraction strength,"T8, T9",,T5,Candidate retained by a filter,,Behavioral synthesis,,Function synthesis
N20,Use a finite sample bank or model-relative result as a universal proof,Retain bounded evidence only,M28,3,,T10,Finite behavioral sampling,,,,Construction,,
N21,Use a passive provider law (Length contract metadata) as a theorem,No proof authority without a Lean theorem about the exact provider,,2,Behavior,,,,,,,Behavioral abstraction,
N22,Refute a List Empty contract with an unrealisable positive length,Not a refutation; a typed concrete input is required,,3,Negative evidence,,,T6,,,,Counterexample,
N23,Grant a polymorphic function a free theorem,No automatic uniformity in classical Lean,,1,,,,,,,,Uniformity,
N24,"Refute one completion, then reject every completion of the sketch",Require a universally scoped exclusion or label the heuristic,,1,,T11,,,,,,,
N25,"Cast an inexact integer quotient as a rational quotient, or drop a Frey divisibility premise",Require divisibility and a nonzero denominator; show the failing neighbour,M33,6,,"T1, T2, T3, T4",Integer quotient cast,T10,,Remove a divisibility premise,Frey-model transport,,Exact quotient cast
N26,Test an arithmetic contract only inside a contradictory package,Mark the run vacuous; test under satisfiable premises,,2,,T24,,,,Contradictory package,,,
N27,Extract an executable enumeration from proposition-valued finiteness,The proposition-level theorem succeeds; execution needs data,,1,,,,T4,,,,,
N28,Extend a function on a refined domain to the whole carrier without data,Restriction of a total function succeeds; extension needs a construction,,1,,,,T7,,,,,
N29,"Restrict a map or an action to a subset without the preservation proof, or induce a group on a set omitting zero",Supply the map-into or closure proof; no structure otherwise,,2,,,,T8,,,,Subtype structure,
N30,Reverse a one-sided inverse on sequences without prefix locality (the left shift),No finite-restriction adapter; identify the missing causality,,2,,,One-sided inverse on sequences,,,,,"Prefix observation, Finite algebra",
N31,"Label objectwise equivalences natural, or a diagram exact, from vertex data alone","The naturality, square, or middle-exactness obligation stays open",,2,"Diagram transport, Middle exactness, Tensor exactness",,,,"Objectwise equivalences, Inverse law omitted",,,,
N32,"Label endpoint deletion as equality, or reindex negative indices through toNat",Accept the norm-error contract; the bijection obligation fails,,1,,,,,"Endpoint deletion, toNat collision",,,,
N33,Exchange a sum and an integral from pointwise convergence,The L1-summable family contract is required; the pulse series refutes the weaker rule,M5,1,,,,,,Pointwise convergence,,,
N34,Change the measure or topology under an integrability or domination fact,Require a transport theorem,,2,,T6,,,,Different measure,,,
N35,"Merge uncountably many almost-everywhere statements, or take an a.e. derivative for an everywhere one",Require a separate uniform theorem; the Dirac step CDF refutes the promotion,,2,Derivative scope,T7,,,,,,,
N36,Apply CDF reflection symmetry to a measure with an atom,Return the atom-corrected identity; unconditional symmetry fails for Dirac,,1,Boundary mass,,,,,,,,
N37,"Run the orbital-comparison argument with q = 1, or without the common base value",The contraction route fails; distinct fixed points are possible,,1,,,,,,,"Probability uniqueness, Generic orbital comparison",,
N38,Infer independence from equal marginals,Reject; a certified joint law is required,,1,,,,,,,Independence,,
N39,Present an upper Lipschitz bound as the least constant,Leastness needs an attainment witness,,1,,,,,,,,,Fabius upper bound
N40,"Give a prime exponent oddness without excluding 2, or reflect divisibility through a zeroth power",Reject; the premise p > 0 or p not 2 is required,,1,,,,,,,,,"Prime refinement, Behavioral reflection"
N41,"Treat a normalised tuple as equal to the original, or export exponent preservation that was never proved",Require the construction relation; the indexed result stays unproved,,1,,,,,,"Normalised tuple, Exponent preservation",,,
N42,Publish an unused false intermediate assertion,Reject that node even though the final theorem has another proof,M25,6,Publication,T19,Unused false assertion,T17,,Unused false assertion,,Publication,
N43,"Replay a stale result, or a displayed edit that differs from the probed one",Exact-origin transactional replay; stale results cannot commit,M21,7,Revision,T18,Displayed edit differs,T18,Candidate changes a fixed object,Candidate changed after analysis,,Origin,
N44,Reuse a success badge across a toolchain or structure change,Recheck meaning and destination policy; issue a new receipt,M23,2,,,Toolchain or structure changes,,,Execution assumptions changed,,,
N45,Offer a different proof for a step that named a required method,"Report a method mismatch, not success",,1,,,,,,,,Method fidelity,
N46,Return a correct fact that is not the sealed target,Reject at the target check,,1,,,Wrong result target,,,,,,
N47,"Differentiate a totalised derivative expression without existence evidence, or a quotient without its denominator guards",Request HasDerivAt evidence; the numerator identity does not discharge the guards,M45,1,,,,,,,,,Derivative law
N48,Use a nonnegative real where a nonzero one is required,Request the missing strictness,,1,,,,,,,,Refinement implication,
