id,commitment,Basalt,Fiber,Gneiss,Karst,Moraine,Obsidian,Schist,Tephra,Trellis,stated_in_round2_syntheses
I6,PROOF-PATH names are not statement strengths; interfaces bind to exact declarations,Y,Y,Y,Y,N,P,Y,Y,Y,no
J1,"Evaluation arms separate library, services, property typing, and surface syntax",Y,Y,Y,Y,Y,Y,Y,Y,Y,yes
J2,Development examples are not held-out tests,Y,Y,Y,Y,Y,Y,Y,Y,Y,yes
J3,A blind reading test precedes the expanded view,Y,Y,Y,Y,Y,Y,Y,Y,Y,yes
J4,"Every displayed assertion is checked, including ones the final proof does not use",Y,Y,Y,Y,Y,Y,Y,Y,Y,yes
J5,The default display shows every condition that changes the claim,Y,Y,Y,Y,Y,Y,Y,Y,Y,yes
J6,Merging: new properties of one object coexist; different witnesses or structures are semantic conflicts,Y,Y,Y,Y,Y,Y,Y,N,N,no
J7,Upgrades recheck at the destination toolchain with a new receipt,Y,Y,Y,Y,Y,Y,Y,Y,Y,yes
J8,A library-only or renderer-only outcome is a success; syntax must earn its place,Y,Y,Y,Y,Y,Y,Y,Y,Y,yes
J9,No productivity or compression number is claimed,Y,Y,Y,Y,Y,Y,Y,Y,Y,yes
J10,The report states that its Lean file was not compiled and that its companion is finite evidence,Y,Y,Y,Y,Y,Y,Y,Y,Y,no
