id,mutation,required_response,inherits_round3,reports,Alder,Bryony,Clover,Fennel,Heather,Juniper,Laurel,Rowan,Sorrel
S17,"A seeded cycle, then deletion of its seed",Only a conditional route; the deleted seed cannot be justified by its own consequence,,8,P,E,P,E,,E,E,E,E
S18,Use a result to justify the guard that authorises it,Reject the cyclic derivation without a separate well-founded proof,N10,9,P,P,P,T,P,T,P,P,P
S19,Offer the goal itself as a repair,"A tautological route, labelled as such, never progress",,4,P,P,,,,E,E,,
S20,"Forge a support, alter the target, reorder premises, or corrupt a certificate node",Independent checker rejects,N14,9,E,E,E,E,E,E,E,E,E
S21,Omit one alternative route but mark the frontier complete,Closure certificate fails,,2,,,,P,,E,,,
S22,Stop enumeration at a budget limit,Retained routes stay valid; coverage is marked incomplete; never a negation,,9,E,P,E,E,P,E,E,E,E
S23,Reverse or shuffle the rule schedule,Same support antichains or closure set,,7,,P,E,P,,E,P,E,E
S24,Reuse a branch-local fact in a sibling branch,Reject context reuse or export a scoped implication,N9,9,E,P,E,P,P,T,E,E,E
S25,"Replay after a rebuilt context, changed snapshot, or changed rule profile",Refuse the stale epoch; recheck in the new context,N51,9,E,E,E,E,E,E,E,E,E
S26,Remove a used versus an unused premise from a closed derivation,Only the used premise reopens as a residual,,4,,P,,P,,,E,,E
S27,Filter a method policy after minimization,"A permitted route may have been discarded; filter before, or index labels by policy",,7,P,,E,E,,P,P,E,E
S28,Satisfy a required arithmetic method by a global contradiction,Truth may hold; the method contract is unmet,N45,9,P,T,T,T,T,T,T,T,T
S29,Publish an unused false intermediate assertion,Document is not fully checked,N42,9,E,P,T,P,P,T,T,P,T
S30,Reuse a fact after simp rewrote its anchor by matching a normalised string,"Require conversion, equality transport, or a consumer theorem",N50,9,P,P,P,P,P,P,P,P,P
S31,Let proof search fill a meaning-bearing hole to ease the goal,Reject the assignment; report ambiguity,N12,9,P,P,T,P,P,P,P,P,P
S32,"Change the measure, topology, structure, or index under unchanged notation",Report a statement change; recheck affected evidence,N11,9,T,T,T,T,T,T,T,T,T
S33,Differentiate a jet and keep the input precision,Require the N+1 to N transformation,N4,8,P,P,,P,P,T,T,P,P
S34,Return the other exact root branch with a correct residual,Residual passes; the constant-term condition fails,N5,5,E,,P,,,,P,P,P
S35,Substitute a formal coefficient theorem for an analytic identity,Require the semantic analytic bridge,,3,P,,,P,,T,,,
S36,"Run the inverse-derivative recipe with f'(0)=0, or with a discontinuous branch",Nonvanishing and branch continuity are premises,,1,,,,,,P,,,
S37,"Descend along a non-surjective quotient map, or change the topology on the target",Uniqueness or continuity conclusion reopens,,1,,,,,,P,,,
S38,Request the logarithmic-derivative form at a zero factor,Keep the exact target; expose the nonzero guards,,1,,,,T,,,,,
S39,Replace the strict subgraph by the non-strict one in weighted Fubini,Statement change; a point mass on the graph detects it,,1,,T,,,,,,,
S40,Normalise a finite measure to mass one without a probability hypothesis,Dirac mass two detects the change,,1,,,,,,,,,P
S41,Demand atomlessness for the Cauchy formula,A point mass is a positive fixture; the demand weakens the theorem,,1,,,,,,,,,P
S42,Present an upper Lipschitz bound as the least constant,Leastness stays open without the lower-bound argument,N39,2,,,,,,,T,,T
S43,Pair certificate components with a truncating zip,Arity is checked first; use indexed vectors,N14,5,,P,P,P,,,P,P,
S44,"Replay a rational ideal certificate for an integer ideal, or read coefficient inequality as functional inequality",Preservation is not reflection,N15,5,,P,P,,P,P,,P,
S45,Accept native bytes without execution evidence,Kernel reduction or reconstruction; native needs its own policy,N17,9,P,P,P,P,P,P,P,P,P
S46,"Reuse a receipt or hash across an edit, a candidate change, or a toolchain migration","New check, new receipt",N43,9,P,P,T,T,T,T,T,T,T
S47,Accept a length-preserving candidate as a sorter,Permutation and order are the specification,N19,9,P,P,P,P,P,P,P,P,P
S48,Return a correct proof of a nearby weaker proposition,Target mismatch; offer an explicit statement edit,N46,9,E,E,E,E,E,E,T,E,E
S49,Write a cons literal over an empty element type,"Refused as a typing error, not a counterexample",,3,P,,,,E,,,P,
S50,"Borrow the affine theorem for a branching, filtering, or nonlinear candidate",Outside the grammar; piecewise models need case coverage,,4,,,P,,P,,P,P,
S51,Stop sampling when the observed rank stabilises and call it coverage,"Coverage is a theorem, not a stopping criterion",,1,,,,,,,P,,
S52,Use affine equality at frame points to prove an inequality,1-n is nonnegative at 0 and 1 only; use a cone certificate,,3,P,,,,P,,P,,
