id,mutation,required_behaviour,suites,Locus,Accord,Cadence,Concord,Facet,Meridian,Noema,Prism,Vantage
M22,Treat a reduction in visible goals as theorem completion,Report local progress; completion needs the root term,2,T20,,,,,,,,V22
M23,"Admit an unapproved axiom transitively, or forge an evidence tag",Fail the publication policy even if the term typechecks,5,T21,A24,,,,P2,r17,N20,
M24,"Accept a verified algorithm's native output without checked execution, or alter one returned coefficient",The algorithm theorem alone is insufficient for that output,2,,,,,T13,,,,V25
M25,Insert a false but unused intermediate assertion,Reject the document even if the final theorem has another proof,8,T22,A20,r12,,T11,P1,r16,N16,V20
M26,Add a constructor to a datatype handled by a structural plan,Recompute coverage; do not reuse the stale constructor list,1,T23,,,,,,,,
M27,"Present search exhaustion, a timeout, or a missing status field as a refutation",Return a non-logical outcome unless a negation is checked at the original target,8,T24,A21,r13,,T12,L3,r14,N15,V24
M28,Supply a finite behavioral test for a universal specification,Retain the finite fact; the universal obligation stays open,1,T25,,,,,,,,
M29,Introduce a competing representation route,"Preserve the selected route, request a choice, or apply a checked coherence theorem",3,T26,,,,,V2,,,V4
M30,"Reflect an equality back along a non-injective map (modulo two, or evaluation over a finite field)",Require reflection evidence; a homomorphism alone is insufficient,3,,,,,"T2,T3",,r13,,V3
M31,Retrieve the benchmark target through an alias,The run is invalid under the declared dependency exclusion,2,T27,,,,,,,,V26
M32,Commit incompatible shared data assignments from sibling obligations,Reject the transaction and restore the origin,3,T28,A18,,,,L4,,,
M33,Transport natural subtraction or natural division to a ring or field without its guard,Expose the order or divisibility obligation; the natural value is not the field value,5,,"A4,A5",,,,V1,r6,"N2,N3","V1,V2"
M34,"Corrupt one coefficient of a certificate (membership witness, recurrence, Sturm remainder)",The checker rejects it regardless of the producer's report,4,,A8,,r3,,A1,,,V14
M35,Strengthen an additive group or rational algebra to a field to make a normalizer applicable,"A statement change, never a proof improvement",4,,,r5,r2,,,r7,N12,
M36,Replace an arbitrary solution of a functional equation by the canonical construction,"Require an equality or uniqueness bridge, or keep the arbitrary object",3,,A17,,,,,r8,N13,
M37,Feed a noncommutative expression to a commutative normalizer,Reject the missing algebraic capability,1,,A7,,,,,,,
M38,"Display an enclosure as an exact decimal, or infer a sign from an interval containing zero",The certificate stores exact bounds; a zero-containing interval is inconclusive,5,,A26,r9,r9,,C3,,,V16
M39,Solve a parameterized equation without its singular branch,Report a conditional answer or require branch coverage,3,,,r1,,,D3,,,V15
M40,Label multiplied-back factors as irreducible,Irreducibility needs separate evidence,1,,,,,,C1,,,
M41,Use a membership witness with rational coefficients for an integer ideal,Reject the coefficient-domain mismatch,1,,,,,,C4,,,
M42,Acknowledge a semantic notice and treat it as discharging a guard,A notice records a convention; it never discharges an obligation,1,,,,,,,,N17,
M43,Use a result to establish the guard that justifies it,Reject cyclic or ill-scoped assembly,1,,,,,,,r12,,
M44,Bind a provider's expression to the wrong origin because names coincide,Reject the typed origin binding,1,,,,,,L1,,,
M45,"Remove an analytic hypothesis such as the non-pole condition, or use a rational form at its pole",Expose the unresolved requirement; the header must not strengthen itself,2,,,,,,A2,,N7,
M46,Substitute a series with nonzero constant term into the simple composition rule,Generate the admissibility obligation or use a stronger precision theorem,2,,A14,,,,,,,V8
M47,"Use a conditional result unconditionally, or exchange dependent witness quantifiers",Reject the scope or dependency change,1,,,,,T16,,,,
M48,Force an already-short corollary into a longer narrative,New syntax must not add declarations or explanation,1,,,,r11,,,,,
M49,Multiply a strict inequality by a merely nonnegative factor,Require strict positivity or handle the zero case,1,,,,,,,,N5,
M50,Infer equality of algebraic numbers from a shared defining polynomial,Require matching root identity or isolation evidence,1,,A11,,,,,,,
M51,Specialize a guarded generic computation at a value where the guard fails,Reinstantiate the guard and locate its origin,1,,,,,,D4,,,
